,x_m,y_m,w_left,w_right
131,43.09016994374947,59.510565162951536,2.0,2.0
132,42.079116908177596,59.78147600733806,2.0,2.0
133,41.045284632676534,59.94521895368273,2.0,2.0
134,40.0,60.0,2.0,2.0
135,38.90909090909091,60.0,2.0,2.0
136,37.81818181818182,60.0,2.0,2.0
137,36.72727272727273,60.0,2.0,2.0
138,35.63636363636363,60.0,2.0,2.0
139,34.54545454545455,60.0,2.0,2.0
140,33.45454545454545,60.0,2.0,2.0
141,32.36363636363636,60.0,2.0,2.0
142,31.272727272727273,60.0,2.0,2.0
143,30.18181818181818,60.0,2.0,2.0
144,29.09090909090909,60.0,2.0,2.0
145,28.0,60.0,2.0,2.0
146,27.0,60.0,2.0,2.0
147,26.0,60.0,2.0,2.0
148,24.999999999999996,59.99999999999999,2.0,2.0
149,24.0,60.0,2.0,2.0
150,22.999999999999996,60.0,2.0,2.0
151,21.999999999999996,60.00000000000001,2.0,2.0
152,20.999999999999993,60.0,2.0,2.0
153,20.0,60.0,2.0,2.0
154,18.999999999999996,60.0,2.0,2.0
155,17.999999999999993,60.0,2.0,2.0
156,17.0,60.0,2.0,2.0
157,15.999999999999996,60.0,2.0,2.0
158,14.999999999999996,60.0,2.0,2.0
159,13.999999999999996,60.0,2.0,2.0
160,12.999999999999996,60.0,2.0,2.0
161,11.999999999999993,60.0,2.0,2.0
162,11.0,60.0,2.0,2.0
163,10.000000000000004,60.0,2.0,2.0
164,8.999999999999993,60.0,2.0,2.0
165,7.9999999999999964,60.0,2.0,2.0
166,7.0000000000000036,60.0,2.0,2.0
167,6.0000000000000036,60.0,2.0,2.0
168,4.9999999999999964,60.0,2.0,2.0
169,4.0,60.0,2.0,2.0
170,3.0,60.0,2.0,2.0
171,2.0,60.0,2.0,2.0
172,1.0,60.0,2.0,2.0
173,-7.105427357601002e-15,60.0,2.0,2.0
174,-1.000000000000007,60.0,2.0,2.0
175,-2.000000000000007,60.0,2.0,2.0
176,-3.0,60.0,2.0,2.0
177,-4.000000000000011,59.99999999999999,2.0,2.0
178,-5.000000000000007,60.0,2.0,2.0
179,-6.0,60.0,2.0,2.0
180,-7.0,60.0,2.0,2.0
181,-8.000000000000007,60.0,2.0,2.0
182,-9.0,60.0,2.0,2.0
183,-10.0,60.0,2.0,2.0
184,-11.0,60.0,2.0,2.0
185,-12.000000000000004,60.00000000000001,2.0,2.0
186,-13.00000000000001,60.0,2.0,2.0
187,-14.000000000000007,59.99999999999999,2.0,2.0
188,-15.000000000000004,60.0,2.0,2.0
189,-15.999999999999996,60.0,2.0,2.0
190,-17.00000000000001,60.0,2.0,2.0
191,-18.000000000000004,60.0,2.0,2.0
192,-19.0,60.00000000000001,2.0,2.0
193,-19.999999999999996,60.0,2.0,2.0
194,-21.000000000000004,60.0,2.0,2.0
195,-22.000000000000007,60.0,2.0,2.0
196,-23.000000000000007,60.0,2.0,2.0
197,-24.000000000000007,60.0,2.0,2.0
198,-25.0,60.0,2.0,2.0
199,-26.000000000000007,60.0,2.0,2.0
200,-27.000000000000014,60.0,2.0,2.0
201,-28.0,60.0,2.0,2.0
202,-29.000000000000007,60.0,2.0,2.0
203,-30.000000000000004,60.0,2.0,2.0
204,-31.0,60.0,2.0,2.0
205,-32.00000000000001,60.0,2.0,2.0
206,-33.0,60.0,2.0,2.0
207,-34.000000000000014,60.0,2.0,2.0
208,-35.0,60.0,2.0,2.0
209,-36.0,60.0,2.0,2.0
210,-37.000000000000014,60.0,2.0,2.0
211,-38.0,60.0,2.0,2.0
212,-39.0,60.0,2.0,2.0
213,-40.000000000000014,60.0,2.0,2.0
214,-41.00000000000001,60.0,2.0,2.0
215,-42.000000000000014,60.0,2.0,2.0
216,-43.0,60.0,2.0,2.0
217,-44.00000000000001,60.0,2.0,2.0
218,-45.000000000000014,60.0,2.0,2.0
219,-46.0,60.0,2.0,2.0
220,-47.00000000000001,60.0,2.0,2.0
221,-47.99999999999999,60.0,2.0,2.0
222,-49.0,60.0,2.0,2.0
223,-50.00000000000001,60.0,2.0,2.0
224,-51.0,60.0,2.0,2.0
225,-52.0,60.0,2.0,2.0
226,-53.00000000000001,60.0,2.0,2.0
227,-54.000000000000014,60.0,2.0,2.0
228,-55.0,60.0,2.0,2.0
229,-56.00000000000001,60.0,2.0,2.0
230,-57.000000000000014,60.0,2.0,2.0
231,-58.000000000000014,60.0,2.0,2.0
232,-59.00000000000001,60.0,2.0,2.0
233,-60.000000000000014,60.0,2.0,2.0
234,-61.00000000000002,60.0,2.0,2.0
235,-62.00000000000001,60.0,2.0,2.0
236,-63.000000000000014,60.0,2.0,2.0
237,-64.0,60.0,2.0,2.0
238,-65.0,60.0,2.0,2.0
