,x_m,y_m,w_left,w_right
0,414.9715850196674,782.5331508103881,2.0,2.0
1,415.6222864550864,781.7739991357325,2.0,2.0
2,416.2729878905054,781.014847461077,2.0,2.0
3,416.92368932592444,780.2556957864215,2.0,2.0
4,417.57439076134347,779.4965441117658,2.0,2.0
5,418.2250921967625,778.7373924371104,2.0,2.0
6,418.8757936321815,777.9782407624549,2.0,2.0
7,419.52649506760054,777.2190890877994,2.0,2.0
8,420.17726019795646,776.4598631023841,2.0,2.0
9,420.8280253283124,775.7006371169689,2.0,2.0
10,421.4787904586683,774.9414111315537,2.0,2.0
11,422.1295555890242,774.1821851461384,2.0,2.0
12,422.78032071938014,773.4229591607232,2.0,2.0
13,423.43108584973606,772.6637331753079,2.0,2.0
14,424.081850980092,771.9045071898927,2.0,2.0
15,424.7326161104479,771.1452812044774,2.0,2.0
16,425.3833812408038,770.3860552190622,2.0,2.0
17,426.03414637115975,769.626829233647,2.0,2.0
18,426.6845269968985,768.8680518369517,2.0,2.0
19,427.3349076226373,768.1092744402565,2.0,2.0
20,427.98528824837604,767.3504970435613,2.0,2.0
21,428.6356688741148,766.5917196468661,2.0,2.0
22,429.28604949985356,765.8329422501708,2.0,2.0
23,429.9364301255923,765.0741648534756,2.0,2.0
24,430.5868107513311,764.3153874567804,2.0,2.0
25,431.23719137706985,763.5566100600852,2.0,2.0
26,431.8875720028086,762.79783266339,2.0,2.0
27,432.5379526285474,762.0390552666947,2.0,2.0
28,433.12991943768833,761.3484273226969,2.0,2.0
29,433.7218862468293,760.6577993786991,2.0,2.0
30,434.3138530559703,759.9671714347014,2.0,2.0
31,434.90581986511125,759.2765434907035,2.0,2.0
32,435.4977866742522,758.5859155467058,2.0,2.0
33,436.0897534833932,757.8952876027079,2.0,2.0
34,436.6817202925341,757.2046596587102,2.0,2.0
35,437.27368710167514,756.5140317147122,2.0,2.0
36,437.86565391081615,755.8234037707145,2.0,2.0
37,438.45762071995705,755.1327758267167,2.0,2.0
38,439.04958752909806,754.4421478827189,2.0,2.0
39,439.64136484941764,753.7517410090128,2.0,2.0
40,440.2331421697371,753.0613341353067,2.0,2.0
41,440.8249194900567,752.3709272616005,2.0,2.0
42,441.4166968103762,751.6805203878944,2.0,2.0
43,442.00847413069573,750.9901135141884,2.0,2.0
44,442.6002514510153,750.2997066404821,2.0,2.0
